manufacture_date,brand,model,origin,type,seats,gearbox,fuel,color,mileage_v2,price,condition
2020,Mazda,CX 5,Việt Nam,SUV / Cross over,5.0,AT,petrol,red,26900,739000000.0,used
2022,Honda,CR V,Việt Nam,SUV / Cross over,7.0,AT,petrol,black,13000,899000000.0,used
2008,Mercedes Benz,E Class,Đức,Sedan,5.0,AT,petrol,black,1234,259000000.0,used
1999,Daewoo,Matiz,Hàn Quốc,Hatchback,5.0,MT,petrol,gold,12345,44000000.0,used
2016,Toyota,Vios,Nhật Bản,Sedan,5.0,MT,petrol,gold,80000,290000000.0,used
2010,Kia,Forte,Hàn Quốc,Sedan,5.0,MT,petrol,silver,130000,221000000.0,used
2023,Ford,Ranger,Việt Nam,Pick-up (bán tải),5.0,AT,oil,gold,0,358000000.0,new
2020,Honda,City,Việt Nam,Sedan,5.0,AT,petrol,others,39000,445000000.0,used
2023,Ford,Ranger,Việt Nam,Pick-up (bán tải),5.0,AT,oil,grey,0,548000000.0,new
2015,Mercedes Benz,C Class,Đức,Sedan,5.0,AT,petrol,silver,70000,699000000.0,used
2018,Hyundai,Tucson,Việt Nam,SUV / Cross over,5.0,AT,petrol,gold,123000,595000000.0,used
2015,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,AT,petrol,silver,100000,295000000.0,used
2018,Hyundai,Accent,Việt Nam,Sedan,5.0,AT,petrol,white,85000,400000000.0,used
2023,Vinfast,VF5,Việt Nam,SUV / Cross over,5.0,AT,electric,orange,0,458000000.0,new
2007,Chevrolet,Captiva,Mỹ,SUV / Cross over,7.0,MT,petrol,silver,3979,150000000.0,used
2019,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,MT,petrol,silver,85487,528000000.0,used
2022,Kia,K5,Việt Nam,Sedan,5.0,AT,petrol,red,44000,785000000.0,used
2015,Mazda,6,Nhật Bản,Sedan,5.0,AT,petrol,white,77000,445000000.0,used
2022,Hyundai,Elantra,Việt Nam,Sedan,5.0,AT,petrol,red,14000,595000000.0,used
2000,Kia,CD5,Việt Nam,Sedan,5.0,MT,petrol,white,2222,30000000.0,used
2020,Toyota,Vios,Việt Nam,Sedan,5.0,AT,petrol,gold,18000,475000000.0,used
