manufacture_date,brand,model,origin,type,seats,gearbox,fuel,color,mileage_v2,price,condition
2009,5,172,0,1,5.0,1,3,11,97000,185000000.0,1
2014,4,126,9,1,5.0,2,3,5,120390,149000000.0,1
2004,10,273,6,6,8.0,2,3,2,230000,150000000.0,1
2014,6,50,2,1,5.0,1,3,4,60000,445000000.0,1
2010,10,57,6,7,5.0,1,3,11,68000,460000000.0,1
2019,4,21,6,7,5.0,1,3,1,23000,388000000.0,1
2015,5,197,0,1,5.0,1,3,12,72000,348000000.0,1
2019,6,3,4,1,5.0,1,3,0,56000,450000000.0,1
2015,1,218,6,9,2.0,2,3,2,99,79000000.0,1
2019,2,196,4,5,5.0,2,2,1,55000,700000000.0,1
2020,10,257,3,1,5.0,1,3,10,30000,325000000.0,1
2020,8,268,6,3,7.0,1,3,12,52000,538000000.0,1
2014,2,99,6,6,7.0,1,2,0,97000,475000000.0,1
2015,5,197,5,7,5.0,1,3,0,192000,320000000.0,1
2003,4,153,0,5,4.0,2,2,12,262000,125000000.0,1
2023,2,196,4,5,5.0,1,2,0,0,1299000000.0,0
2014,3,72,2,7,5.0,1,3,12,5678,398000000.0,1
2021,5,206,6,6,5.0,1,3,12,40000,625000000.0,1
2017,1,87,6,7,5.0,2,3,0,85000,275000000.0,1
2022,4,236,6,6,5.0,1,3,12,16000,895000000.0,1
2018,10,251,6,7,5.0,2,3,4,85000,338000000.0,1
2019,4,126,6,1,5.0,1,3,0,33500,325000000.0,1
2018,4,126,6,1,5.0,1,3,11,52000,315000000.0,1
2019,5,215,0,8,7.0,1,2,12,28000,730000000.0,1
2019,5,67,0,8,5.0,2,3,12,60000,430000000.0,1
2023,2,196,6,5,5.0,1,2,10,0,979000000.0,0
2019,3,132,4,6,5.0,0,3,11,42000,565000000.0,1
2016,6,13,6,7,5.0,1,3,11,65,465000000.0,1
2019,5,67,6,7,5.0,1,3,12,60000,479000000.0,1
2014,10,57,6,7,5.0,1,3,0,74000,540000000.0,1
2019,10,136,6,3,8.0,1,3,12,75000,685000000.0,1
2015,6,3,6,1,5.0,1,3,12,60000,298000000.0,1
2023,11,240,6,1,5.0,1,0,10,0,458000000.0,0
2023,11,241,6,6,5.0,1,0,0,0,907000000.0,0
2023,4,236,6,6,5.0,1,3,12,0,778000000.0,0
2020,5,172,6,1,5.0,1,3,12,33000,339000000.0,1
2020,6,38,4,5,5.0,1,2,2,61000,525000000.0,1
2019,10,57,4,7,5.0,1,3,1,73000,800000000.0,1
2021,4,126,6,1,5.0,2,3,10,14000,310000000.0,1
2019,7,41,8,7,5.0,1,3,1,40000,1099000000.0,1
2018,5,172,6,1,5.0,2,3,12,0,259000000.0,1
2007,10,136,6,3,8.0,2,3,11,200321,239000000.0,1
2013,10,109,6,6,7.0,2,2,6,118000,479000000.0,1
2019,5,215,6,6,7.0,1,3,8,120560,550000000.0,1
2007,10,136,6,7,8.0,2,3,11,12312,230000000.0,1
2023,4,21,6,7,5.0,1,3,0,0,516000000.0,0
2020,5,212,6,7,5.0,1,3,12,63000,325000000.0,1
2010,5,165,6,1,4.0,2,3,11,130000,100000000.0,1
2017,8,169,4,1,5.0,2,3,10,78000,250000000.0,1
2021,4,94,6,7,5.0,1,3,12,7500,595000000.0,1
