manufacture_date,brand,model,origin,type,seats,gearbox,fuel,color,mileage_v2,condition
2021,Mercedes Benz,C Class,Việt Nam,Sedan,5.0,AT,petrol,white,25000,used
2016,Chevrolet,Colorado,Thái Lan,Pick-up (bán tải),5.0,AT,oil,white,75000,used
2019,Toyota,Vios,Việt Nam,Sedan,5.0,MT,petrol,gold,55000,used
2023,Mitsubishi,Xpander,Nước khác,SUV / Cross over,7.0,AT,petrol,brown,0,new
2010,Chevrolet,Spark,Hàn Quốc,Hatchback,5.0,MT,petrol,white,15000,used
2018,Mazda,3,Việt Nam,Hatchback,5.0,AT,petrol,blue,81234,used
2021,Vinfast,Lux SA2.0,Việt Nam,SUV / Cross over,7.0,AT,petrol,white,9,used
2015,Toyota,Vios,Việt Nam,Sedan,5.0,MT,petrol,brown,105000,used
2016,Ford,Focus,Mỹ,Sedan,5.0,AT,petrol,red,70000,used
2022,Ford,Ranger,Việt Nam,Pick-up (bán tải),5.0,AT,petrol,white,14000,used
2020,Mitsubishi,Attrage,Thái Lan,Sedan,5.0,AT,petrol,red,18000,used
2015,Kia,Rio,Hàn Quốc,Hatchback,5.0,AT,petrol,red,75000,used
2018,Mitsubishi,Xpander,Nước khác,SUV / Cross over,7.0,AT,petrol,brown,42000,used
2020,Honda,City,Việt Nam,Sedan,5.0,AT,petrol,black,40360,used
2020,Mazda,2,Thái Lan,Sedan,5.0,AT,petrol,white,57000,used
2020,Hyundai,Accent,Hàn Quốc,Sedan,5.0,AT,petrol,white,58000,used
2018,Hyundai,Tucson,Việt Nam,SUV / Cross over,5.0,AT,petrol,red,100000,used
2009,Ford,Everest,Mỹ,SUV / Cross over,7.0,MT,oil,silver,150000,used
2019,Toyota,Vios,Việt Nam,Sedan,5.0,MT,petrol,gold,62000,used
2018,Hyundai,Grand i10,Việt Nam,Hatchback,5.0,AT,petrol,silver,52000,used
2019,Honda,CR V,Thái Lan,SUV / Cross over,5.0,AT,petrol,white,56000,used
2019,Mazda,CX 5,Nhật Bản,SUV / Cross over,5.0,AT,petrol,brown,70000,used
2019,Mercedes Benz,C Class,Việt Nam,Sedan,5.0,AT,petrol,red,49500,used
2012,Chevrolet,Cruze,Việt Nam,Sedan,5.0,MT,petrol,black,166000,used
2011,Toyota,Sienna,Mỹ,Minivan (MPV),7.0,AT,petrol,gold,65998,used
2022,Hyundai,Creta,Việt Nam,SUV / Cross over,5.0,AT,petrol,blue,0,new
1998,Toyota,Corolla,Nhật Bản,Sedan,5.0,MT,petrol,grey,33,used
2014,Kia,Morning,Việt Nam,Hatchback,5.0,AT,petrol,white,50000,used
2022,Vinfast,Lux A2.0,Việt Nam,Sedan,5.0,AT,petrol,black,0,new
2012,Hyundai,Avante,Hàn Quốc,Sedan,5.0,AT,petrol,white,65000,used
2019,Mazda,CX 5,Việt Nam,SUV / Cross over,5.0,AT,petrol,red,46000,used
2016,Chevrolet,Cruze,Việt Nam,Sedan,5.0,MT,petrol,white,70000,used
2022,Vinfast,Lux A2.0,Việt Nam,Sedan,5.0,AT,petrol,white,10000,used
2019,Honda,Jazz,Thái Lan,Hatchback,5.0,AT,petrol,red,64000,used
2020,Toyota,Vios,Việt Nam,Sedan,5.0,MT,petrol,white,79000,used
1995,Honda,Accord,Nhật Bản,Sedan,5.0,MT,petrol,blue,100000,used
2017,Ford,Fiesta,Việt Nam,Hatchback,5.0,AT,petrol,white,35000,used
2009,Toyota,Camry,Đài Loan,Sedan,5.0,AT,petrol,silver,110000,used
2012,Kia,Morning,Việt Nam,Hatchback,5.0,MT,petrol,blue,13568,used
2021,Hyundai,Accent,Việt Nam,Sedan,5.0,AT,petrol,red,6000,used
2010,Kia,Morning,Hàn Quốc,Hatchback,5.0,AT,petrol,silver,123456,used
2010,Ford,Focus,Việt Nam,Sedan,5.0,AT,petrol,red,150000,used
2023,Ford,Territory,Việt Nam,SUV / Cross over,5.0,AT,petrol,brown,0,new
2011,Toyota,Fortuner,Việt Nam,SUV / Cross over,7.0,MT,oil,silver,113000,used
2020,Honda,CR V,Thái Lan,SUV / Cross over,7.0,AT,petrol,black,18000,used
2020,Vinfast,Lux SA2.0,Việt Nam,SUV / Cross over,7.0,AT,petrol,white,17000,used
2019,Mazda,CX 5,Việt Nam,SUV / Cross over,5.0,AT,petrol,black,4800,used
2005,Mitsubishi,Jolie,Nhật Bản,SUV / Cross over,8.0,MT,petrol,silver,200000,used
2019,Honda,Brio,Nước khác,Hatchback,5.0,AT,petrol,white,35000,used
2022,Kia,Seltos,Việt Nam,SUV / Cross over,5.0,AT,petrol,others,0,new
2016,Chevrolet,Spark,Việt Nam,Hatchback,5.0,MT,petrol,blue,105000,used
2016,Ford,Fiesta,Mỹ,Sedan,5.0,AT,petrol,blue,100000,used
2019,Mitsubishi,Triton,Thái Lan,Pick-up (bán tải),5.0,AT,oil,grey,65000,used
2021,Vinfast,Lux A2.0,Việt Nam,Sedan,5.0,AT,petrol,black,7000,used
2016,Kia,Sedona,Hàn Quốc,Minivan (MPV),7.0,AT,petrol,white,120000,used
2016,Mazda,3,Nhật Bản,Sedan,5.0,AT,petrol,black,61000,used
2020,Vinfast,Fadil,Việt Nam,Hatchback,5.0,AT,petrol,orange,20000,used
2020,Mitsubishi,Xpander Cross,Nước khác,SUV / Cross over,7.0,AT,petrol,white,14000,used
2012,Chevrolet,Spark,Việt Nam,Van,2.0,MT,petrol,white,90000,used
2010,Kia,Cerato,Hàn Quốc,Sedan,5.0,AT,petrol,silver,12000,used
2010,Hyundai,Sonata,Hàn Quốc,Sedan,5.0,AT,petrol,grey,95000,used
2009,Kia,Morning,Hàn Quốc,Hatchback,5.0,AT,petrol,gold,130000,used
2022,Mazda,3,Việt Nam,Sedan,5.0,AT,petrol,white,14000,used
2019,Mitsubishi,Xpander,Nước khác,Minivan (MPV),5.0,MT,petrol,white,62000,used
2018,Mazda,6,Việt Nam,Sedan,5.0,AT,petrol,white,90000,used
2019,Toyota,Innova,Nhật Bản,Minivan (MPV),8.0,MT,petrol,gold,150000,used
2021,Toyota,Vios,Việt Nam,Sedan,5.0,AT,petrol,white,67000,used
2009,Mitsubishi,Zinger,Nhật Bản,SUV / Cross over,8.0,MT,petrol,silver,123456,used
2021,Vinfast,Fadil,Việt Nam,Hatchback,5.0,AT,petrol,red,38700,used
2019,Mitsubishi,Xpander,Nhật Bản,SUV / Cross over,7.0,AT,petrol,white,98000,used
2017,Toyota,Yaris,Thái Lan,Hatchback,5.0,AT,petrol,white,39000,used
2020,Vinfast,Lux A2.0,Việt Nam,Sedan,5.0,AT,petrol,blue,34000,used
2016,Kia,Morning,Việt Nam,Hatchback,5.0,MT,petrol,white,97000,used
2016,Ford,Ranger,Việt Nam,Pick-up (bán tải),5.0,MT,oil,black,12000,used
2004,Mitsubishi,Jolie,Việt Nam,SUV / Cross over,7.0,MT,petrol,silver,185000,used
2012,Toyota,Fortuner,Việt Nam,SUV / Cross over,7.0,AT,petrol,silver,130000,used
2014,Toyota,Fortuner,Nhật Bản,SUV / Cross over,7.0,AT,petrol,silver,65000,used
2015,Mercedes Benz,C Class,Đức,Sedan,5.0,AT,petrol,silver,70000,used
2023,Kia,Seltos,Việt Nam,SUV / Cross over,5.0,AT,petrol,white,0,new
2012,Chevrolet,Spark,Mỹ,Hatchback,5.0,AT,petrol,white,130,used
2014,Ford,Transit,Việt Nam,Minivan (MPV),6.0,MT,oil,silver,180000,used
2011,Chevrolet,Spark,Việt Nam,Hatchback,2.0,MT,petrol,silver,190000,used
2019,Ford,Ranger,Việt Nam,Pick-up (bán tải),5.0,AT,oil,white,77777,used
2023,Ford,Territory,Việt Nam,SUV / Cross over,5.0,AT,petrol,others,0,new
2016,Kia,Morning,Việt Nam,Hatchback,5.0,MT,petrol,white,123567,used
2007,Chevrolet,Captiva,Việt Nam,SUV / Cross over,7.0,AT,petrol,silver,199000,used
2020,Vinfast,Lux A2.0,Việt Nam,Sedan,5.0,AT,petrol,white,60000,used
2023,Mazda,CX 8,Việt Nam,SUV / Cross over,7.0,AT,petrol,white,0,new
2021,Mercedes Benz,GLC,Việt Nam,SUV / Cross over,5.0,AT,petrol,white,46500,used
2016,Kia,Morning,Nước khác,Hatchback,2.0,AT,petrol,blue,60000,used
2018,Mazda,6,Việt Nam,Sedan,5.0,AT,petrol,white,89000,used
1987,Toyota,Land Cruiser,Nhật Bản,SUV / Cross over,6.0,MT,oil,blue,123456,used
2014,Honda,City,Việt Nam,Sedan,5.0,AT,petrol,grey,100000,used
2015,Mazda,BT 50,Thái Lan,Pick-up (bán tải),5.0,AT,oil,red,153000,used
2009,Toyota,Corolla Altis,Việt Nam,Sedan,5.0,AT,petrol,silver,140000,used
2015,Chevrolet,Cruze,Mỹ,Sedan,5.0,AT,petrol,silver,71000,used
2018,Kia,Sedona,Việt Nam,Minivan (MPV),7.0,AT,oil,black,55000,used
2013,Honda,CR V,Việt Nam,SUV / Cross over,5.0,AT,petrol,white,90000,used
2021,Vinfast,Lux SA2.0,Việt Nam,SUV / Cross over,7.0,AT,petrol,white,49000,used
2011,Toyota,Innova,Nhật Bản,Minivan (MPV),8.0,MT,petrol,silver,113930,used
2022,Honda,City,Việt Nam,Sedan,5.0,AT,petrol,blue,12800,used
2009,Ford,Escape,Việt Nam,SUV / Cross over,5.0,AT,petrol,black,13000,used
2007,Chevrolet,Captiva,Việt Nam,SUV / Cross over,7.0,AT,petrol,silver,110000,used
2018,Mazda,CX 5,Việt Nam,SUV / Cross over,5.0,AT,petrol,black,75000,used
2008,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,MT,petrol,silver,167000,used
2019,Ford,Ranger,Thái Lan,Pick-up (bán tải),5.0,AT,oil,white,65000,used
2015,Kia,Morning,Hàn Quốc,Hatchback,2.0,AT,petrol,white,82000,used
2020,Mazda,3,Việt Nam,Sedan,5.0,AT,petrol,white,48000,used
2012,Toyota,Vios,Việt Nam,Sedan,5.0,MT,petrol,silver,12000,used
2015,Toyota,Vios,Việt Nam,Sedan,5.0,AT,petrol,white,84156,used
2023,Toyota,Wigo,Nước khác,Hatchback,5.0,MT,petrol,others,0,new
2017,Kia,Sorento,Việt Nam,SUV / Cross over,7.0,AT,oil,silver,83000,used
2023,Ford,Ranger,Thái Lan,Pick-up (bán tải),5.0,AT,oil,white,0,new
2015,Hyundai,Elantra,Hàn Quốc,Sedan,5.0,AT,petrol,black,50000,used
2017,Mitsubishi,Mirage,Thái Lan,Hatchback,5.0,MT,petrol,white,140000,used
2022,Ford,Ranger,Việt Nam,Pick-up (bán tải),5.0,AT,oil,black,33000,used
2022,Mazda,2,Nhật Bản,Sedan,4.0,AT,petrol,white,8800,used
2012,Kia,Sorento,Việt Nam,SUV / Cross over,7.0,AT,petrol,silver,154738,used
2023,Ford,Everest,Mỹ,SUV / Cross over,7.0,AT,oil,black,0,new
2019,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,MT,petrol,white,167000,used
2011,Toyota,Hilux,Thái Lan,Pick-up (bán tải),5.0,MT,oil,silver,100000,used
2021,Kia,K3,Việt Nam,Sedan,5.0,AT,petrol,black,18000,used
2023,Mitsubishi,Outlander,Việt Nam,SUV / Cross over,7.0,AT,petrol,white,9918,used
2014,Hyundai,Grand i10,Ấn Độ,Hatchback,5.0,MT,petrol,white,70000,used
2023,Vinfast,VF8,Việt Nam,SUV / Cross over,5.0,AT,electric,grey,0,new
2021,Ford,Everest,Thái Lan,SUV / Cross over,7.0,AT,oil,red,28000,used
2018,Mazda,2,Nhật Bản,Hatchback,5.0,AT,petrol,white,60000,used
2023,Toyota,Corolla Cross,Thái Lan,SUV / Cross over,5.0,AT,petrol,red,0,new
2019,Kia,Soluto,Việt Nam,Sedan,5.0,AT,petrol,white,16000,used
2012,Ford,Focus,Việt Nam,Sedan,5.0,AT,petrol,brown,65000,used
2008,Honda,Accord,Nhật Bản,Sedan,4.0,AT,petrol,black,195000,used
2021,Kia,Sorento,Hàn Quốc,SUV / Cross over,7.0,AT,oil,red,38000,used
2022,Mazda,3,Việt Nam,Sedan,2.0,AT,petrol,red,30000,used
2009,Hyundai,i30,Hàn Quốc,Hatchback,5.0,AT,petrol,red,75,used
2009,Honda,CR V,Việt Nam,SUV / Cross over,5.0,AT,petrol,black,120000,used
