iter	MAE	RMSE
491	32630440.8	56053385.07
492	32624349.27	56033078.7
493	32618461.09	56019604.41
494	32625124.94	56016452.13
495	32617387.25	55990968.89
496	32585147.78	55938392.4
497	32575727.13	55926724.99
498	32580364.3	55938740.28
499	32555428.49	55912893.17
500	32531062.87	55883781.89
501	32510866.78	55853099.3
502	32502794.95	55836021.62
503	32472176.75	55773161.19
504	32447176.23	55737170.13
505	32429608.85	55707281.86
506	32436577.8	55718400.46
507	32434827.77	55696653.25
508	32431166.47	55662216.64
509	32431327.01	55666802.89
510	32428497.91	55661457.75
511	32422601.91	55660516.2
512	32406716.32	55652330.9
513	32392201.05	55624055.32
514	32398393.93	55613554.97
515	32376470.78	55589436.78
516	32362862.73	55572928.83
517	32339680.87	55510066.88
518	32322831.93	55489187.97
519	32315686.49	55486881.64
520	32309180.66	55489876.24
521	32305092.85	55475464.05
522	32288763.58	55447061.72
523	32285307.85	55438298.49
524	32245952.11	55393458.1
525	32224860.24	55360303.52
526	32221715.33	55355396.61
527	32201532.49	55339964.62
528	32175854.57	55274170.77
529	32167406.21	55248974.75
530	32163479.05	55219076.88
531	32154628.81	55209211.05
532	32156913.26	55207982.03
533	32171820.73	55223855.45
534	32162608.3	55219407.86
535	32169281.88	55198593.65
536	32168709.21	55139100.46
537	32173921.58	55149757.64
538	32155045.24	55123697.64
539	32136679.66	55087412.19
540	32127286.32	55073551.5
541	32117344.96	55047394.01
542	32084367.61	54993365.47
543	32080587.03	54975307.17
544	32082948.89	54977519.01
545	32093338.25	54994701.94
546	32093726.08	54990690.72
547	32046202.22	54966513.31
548	32034788.63	54945718.67
549	32029819.37	54941858.64
550	32000113.5	54916590.9
551	31979748.75	54890157.59
552	31963767.87	54864037.7
553	31958194.89	54861238.61
554	31956088.47	54856150.63
555	31947145.8	54844353.71
556	31947338.09	54825157.19
557	31929982.02	54801281.2
558	31924311.6	54807327.13
559	31924722.93	54780518.71
560	31901797.52	54754871.78
561	31890235.15	54729389.37
562	31885302.94	54704843.9
563	31884811.12	54697693.63
564	31850185.81	54637214.27
565	31831022.47	54616836.71
566	31832755.7	54604111.59
567	31808105.32	54571943.84
568	31797703.23	54542704.43
569	31794064.81	54528351.08
570	31783736.41	54495162.2
571	31787282.15	54506398.56
572	31794595.94	54517087.85
573	31800842.2	54512760.5
574	31787002.88	54489338.69
575	31776324.36	54465047.28
576	31767490.23	54454298.48
577	31750007.96	54437016.98
578	31746073	54424543.38
579	31740202.49	54423257.6
580	31732214.05	54409521.48
581	31730003.79	54407667.27
582	31713819.29	54381188.05
583	31699767.4	54364434.02
584	31679250.67	54347512.66
585	31646691.81	54306315.38
586	31638706.07	54292606.18
587	31622218.03	54279809.6
588	31619462.75	54275679.84
589	31607818.63	54268601.61
590	31601043.41	54265965.11
591	31599938.32	54273037.07
592	31591651.98	54267143.57
593	31590035.46	54274452.62
594	31576807.27	54246020.28
595	31558486.99	54214240.3
596	31520433.74	54173410.98
597	31512512.67	54163088.07
598	31508543.86	54144235.66
599	31501708.16	54113955.78
600	31487500	54087529.98
601	31476893.76	54074415.4
602	31458409.47	54057255.87
603	31460816.15	54047748.95
604	31451265.1	54038266.47
605	31439223.02	54001235.33
606	31428729.71	53985423.17
607	31430071.72	53983182.56
608	31434844.2	53970873.9
609	31440231.01	53966998.29
610	31420935.36	53952651.66
611	31422977.51	53951934.97
612	31416796.06	53956676.36
613	31416554.4	53934105.11
614	31398895.08	53906605.93
615	31402645.16	53895714.45
616	31400312.85	53884475.88
617	31385362.6	53868975.35
618	31366556.33	53841976.43
619	31356791.26	53824080.28
620	31344437.99	53816613.42
621	31346483.15	53820239.13
622	31326794.95	53794799.07
623	31306775.23	53774966.3
624	31300118.78	53732922.05
625	31285114.51	53711270.53
626	31283933.85	53686568.31
627	31283728.68	53664288.99
628	31269817.46	53625351.79
629	31259610.22	53619607.12
630	31241232.95	53586925.42
631	31241943.87	53580904.15
632	31225040.89	53556696.44
